Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Fey;1044;00;210;Fey;5522;VD;100 %;2542163.000;1169574.000;fr;2008-07-01
Ogens;1045;00;211;Ogens;5680;VD;98.298 %;2545356.000;1173527.000;fr;2008-07-01
Ogens;1045;00;211;Bioley-Magnoux;5903;VD;1.702 %;2545895.000;1174519.000;fr;2008-07-01
Rueyres;1046;00;624;Rueyres;5534;VD;100 %;2543085.000;1171685.000;fr;2008-07-01
Oppens;1047;00;5883;Oppens;5923;VD;100 %;2543057.000;1173936.000;fr;2008-07-01
Le Mont-sur-Lausanne;1052;00;214;Le Mont-sur-Lausanne;5587;VD;100 %;2538333.000;1156164.000;fr;2008-07-01
Cugy VD;1053;00;215;Cugy (VD);5516;VD;89.594 %;2538910.000;1159565.000;fr;2008-07-01
Cugy VD;1053;00;215;Lausanne;5586;VD;10.406 %;2540222.000;1160349.000;fr;2008-07-01
Bretigny-sur-Morrens;1053;02;202;Bretigny-sur-Morrens;5515;VD;100 %;2538968.000;1160876.000;fr;2008-07-01
Morrens VD;1054;00;216;Morrens (VD);5527;VD;100 %;2537829.000;1160285.000;fr;2008-07-01
Froideville;1055;00;217;Froideville;5523;VD;100 %;2542001.000;1161377.000;fr;2008-07-01
Villars-Tiercelin;1058;00;233;Jorat-Menthue;5804;VD;100 %;2543851.000;1164143.000;fr;2008-07-01
Peney-le-Jorat;1059;00;234;Jorat-Menthue;5804;VD;97.727 %;2545647.000;1164789.000;fr;2008-07-01
Peney-le-Jorat;1059;00;234;Hermenches;5673;VD;2.273 %;2546584.000;1165576.000;fr;2008-07-01
Villars-Mendraz;1061;00;235;Jorat-Menthue;5804;VD;100 %;2545655.000;1166366.000;fr;2008-07-01
Sottens;1062;00;236;Jorat-Menthue;5804;VD;100 %;2546670.000;1167383.000;fr;2008-07-01
Chapelle-sur-Moudon;1063;00;237;Montanaire;5693;VD;100 %;2546251.000;1168944.000;fr;2008-07-01
Martherenges;1063;02;5857;Montanaire;5693;VD;100 %;2547555.000;1167980.000;fr;2008-07-01
Boulens;1063;03;198;Boulens;5661;VD;100 %;2545007.000;1170270.000;fr;2008-07-01
Peyres-Possens;1063;04;197;Montanaire;5693;VD;96.296 %;2544023.000;1168059.000;fr;2008-07-01
Peyres-Possens;1063;04;197;Jorat-Menthue;5804;VD;3.704 %;2544901.000;1167948.000;fr;2008-07-01
Epalinges;1066;00;221;Epalinges;5584;VD;100 %;2540895.000;1155642.000;fr;2008-07-01
Les Monts-de-Pully;1068;00;7007;Pully;5590;VD;100 %;2542585.000;1154210.000;fr;2008-07-01
Puidoux;1070;00;786;Puidoux;5607;VD;99.763 %;2549217.000;1149847.000;fr;2008-07-01
Puidoux;1070;00;786;Bourg-en-Lavaux;5613;VD;0.237 %;2547505.000;1150557.000;fr;2008-07-01
Chexbres;1071;00;788;Chexbres;5601;VD;99.445 %;2549330.000;1148091.000;fr;2008-07-01
Chexbres;1071;00;788;Rivaz;5609;VD;0.555 %;2549347.000;1147764.000;fr;2008-07-01
Rivaz;1071;01;1060;Rivaz;5609;VD;98.837 %;2549353.000;1147399.000;fr;2008-07-01
Rivaz;1071;01;1060;Puidoux;5607;VD;1.163 %;2549208.000;1147282.000;fr;2008-07-01
