Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Donatyre;1580;03;9298;Avenches;5451;VD;100 %;2571017.000;1191717.000;fr;2008-07-01
Villarepos;1583;00;759;Courtepin;2254;FR;100 %;2572414.000;1192594.000;fr;2008-07-01
Villars-le-Grand;1584;00;763;Vully-les-Lacs;5464;VD;100 %;2565856.000;1195055.000;fr;2008-07-01
Salavaux;1585;00;764;Vully-les-Lacs;5464;VD;100 %;2568601.000;1196283.000;fr;2008-07-01
Bellerive VD;1585;02;6155;Vully-les-Lacs;5464;VD;100 %;2568496.000;1197119.000;fr;2008-07-01
Cotterd;1585;03;7621;Vully-les-Lacs;5464;VD;100 %;2568815.000;1197082.000;fr;2008-07-01
Vallamand;1586;00;765;Vully-les-Lacs;5464;VD;100 %;2569570.000;1197659.000;fr;2008-07-01
Montmagny;1587;00;766;Vully-les-Lacs;5464;VD;100 %;2567372.000;1197317.000;fr;2008-07-01
Constantine;1587;01;768;Vully-les-Lacs;5464;VD;100 %;2567434.000;1196414.000;fr;2008-07-01
Cudrefin;1588;00;770;Cudrefin;5456;VD;100 %;2568306.000;1200388.000;fr;2008-07-01
Chabrey;1589;00;767;Vully-les-Lacs;5464;VD;100 %;2565081.000;1197331.000;fr;2008-07-01
Faoug;1595;00;772;Faoug;5458;VD;100 %;2572357.000;1195176.000;fr;2008-07-01
Clavaleyres;1595;02;5753;Murten;2275;FR;100 %;2573546.000;1194336.000;de;2008-07-01
Palézieux;1607;00;790;Oron;5805;VD;100 %;2554114.000;1154684.000;fr;2008-07-01
Palézieux-Village;1607;01;778;Oron;5805;VD;100 %;2553449.000;1155985.000;fr;2008-07-01
Les Tavernes;1607;03;5867;Oron;5805;VD;100 %;2551971.000;1155872.000;fr;2008-07-01
Les Thioleyres;1607;04;5868;Oron;5805;VD;86.029 %;2552019.000;1154383.000;fr;2008-07-01
Les Thioleyres;1607;04;5868;Puidoux;5607;VD;13.971 %;2551658.000;1154169.000;fr;2008-07-01
Oron-le-Châtel;1608;00;909;Oron;5805;VD;100 %;2554187.000;1158402.000;fr;2008-07-01
Bussigny-sur-Oron;1608;02;5865;Oron;5805;VD;100 %;2555629.000;1157678.000;fr;2008-07-01
Chesalles-sur-Oron;1608;03;5866;Oron;5805;VD;100 %;2555131.000;1158510.000;fr;2008-07-01
Chapelle (Glâne);1608;04;5784;Rue;2097;FR;100 %;2553932.000;1159744.000;fr;2008-07-01
St-Martin FR;1609;00;910;Saint-Martin (FR);2335;FR;100 %;2556730.000;1158427.000;fr;2008-07-01
Besencens;1609;02;5834;Saint-Martin (FR);2335;FR;100 %;2556186.000;1159551.000;fr;2008-07-01
Fiaugères;1609;03;5835;Saint-Martin (FR);2335;FR;100 %;2558054.000;1159646.000;fr;2008-07-01
Oron-la-Ville;1610;00;846;Oron;5805;VD;100 %;2553041.000;1157868.000;fr;2008-07-01
Châtillens;1610;01;779;Oron;5805;VD;100 %;2552094.000;1157551.000;fr;2008-07-01
Vuibroye;1610;02;5869;Oron;5805;VD;100 %;2551511.000;1157930.000;fr;2008-07-01
Le Crêt-près-Semsales;1611;00;911;La Verrerie;2338;FR;100 %;2559970.000;1161823.000;fr;2008-07-01
Ecoteaux;1612;00;906;Oron;5805;VD;100 %;2555668.000;1155185.000;fr;2008-07-01
Maracon;1613;00;907;Maracon;5790;VD;100 %;2556532.000;1155778.000;fr;2008-07-01
Granges (Veveyse);1614;00;791;Granges (Veveyse);2328;FR;100 %;2553271.000;1152865.000;fr;2008-07-01
Bossonnens;1615;00;792;Bossonnens;2323;FR;100 %;2554921.000;1152864.000;fr;2008-07-01
Attalens;1616;00;793;Attalens;2321;FR;100 %;2554899.000;1151022.000;fr;2008-07-01
Remaufens;1617;00;794;Remaufens;2333;FR;100 %;2557149.000;1153339.000;fr;2008-07-01
Tatroz;1617;02;7904;Attalens;2321;FR;100 %;2556273.000;1152814.000;fr;2008-07-01
Châtel-St-Denis;1618;00;795;Châtel-Saint-Denis;2325;FR;99.927 %;2558949.000;1153010.000;fr;2008-07-01
Châtel-St-Denis;1618;00;795;Remaufens;2333;FR;0.073 %;2557860.000;1153107.000;fr;2008-07-01
Les Paccots;1619;00;797;Châtel-Saint-Denis;2325;FR;100 %;2562615.000;1152072.000;fr;2008-07-01
Semsales;1623;00;798;Semsales;2336;FR;100 %;2560999.000;1158058.000;fr;2008-07-01
La Verrerie;1624;00;800;La Verrerie;2338;FR;100 %;2560262.000;1159901.000;fr;2008-07-01
Grattavache;1624;02;5836;La Verrerie;2338;FR;100 %;2560160.000;1160600.000;fr;2008-07-01
Progens;1624;03;6056;La Verrerie;2338;FR;100 %;2559627.000;1159417.000;fr;2008-07-01
Sâles (Gruyère);1625;00;898;Sâles;2152;FR;100 %;2564135.000;1164790.000;fr;2008-07-01
Maules;1625;02;5800;Sâles;2152;FR;100 %;2565737.000;1165326.000;fr;2008-07-01
Romanens;1626;00;893;Sâles;2152;FR;100 %;2564405.000;1166845.000;fr;2008-07-01
Rueyres-Treyfayes;1626;03;6121;Sâles;2152;FR;100 %;2563072.000;1166578.000;fr;2008-07-01
Vaulruz;1627;00;801;Vaulruz;2155;FR;97.823 %;2565475.000;1163442.000;fr;2008-07-01
Vaulruz;1627;00;801;Sâles;2152;FR;1.793 %;2563065.000;1161805.000;fr;2008-07-01
Vaulruz;1627;00;801;Semsales;2336;FR;0.384 %;2563130.000;1161124.000;fr;2008-07-01
Vuadens;1628;00;802;Vuadens;2160;FR;98.123 %;2567864.000;1162822.000;fr;2008-07-01
Vuadens;1628;00;802;Riaz;2148;FR;1.011 %;2568503.000;1164264.000;fr;2008-07-01
Vuadens;1628;00;802;Vaulruz;2155;FR;0.217 %;2564843.000;1160391.000;fr;2008-07-01
Vuadens;1628;00;802;Echarlens;2131;FR;0.65 %;2568810.000;1164575.000;fr;2008-07-01
Bulle;1630;00;803;Bulle;2125;FR;99.766 %;2570739.000;1163332.000;fr;2008-07-01
Bulle;1630;00;803;Semsales;2336;FR;0.094 %;2565606.000;1158034.000;fr;2008-07-01
Bulle;1630;00;803;Vaulruz;2155;FR;0.094 %;2565485.000;1158889.000;fr;2008-07-01
Bulle;1630;00;803;Vuadens;2160;FR;0.047 %;2568915.000;1162279.000;fr;2008-07-01
Riaz;1632;00;827;Riaz;2148;FR;100 %;2570856.000;1165496.000;fr;2008-07-01
Marsens;1633;00;828;Marsens;2140;FR;100 %;2570969.000;1167311.000;fr;2008-07-01
Vuippens;1633;02;807;Marsens;2140;FR;100 %;2572298.000;1167670.000;fr;2008-07-01
La Roche FR;1634;00;829;La Roche;2149;FR;99.713 %;2577235.000;1171637.000;fr;2008-07-01
La Roche FR;1634;00;829;Hauteville;2137;FR;0.287 %;2576942.000;1169561.000;fr;2008-07-01
La Tour-de-Trême;1635;00;831;Bulle;2125;FR;96.102 %;2570898.000;1162028.000;fr;2008-07-01
La Tour-de-Trême;1635;00;831;Gruyères;2135;FR;2.807 %;2567468.000;1159380.000;fr;2008-07-01
La Tour-de-Trême;1635;00;831;Le Pâquier (FR);2145;FR;1.091 %;2569392.000;1161989.000;fr;2008-07-01
Broc;1636;00;832;Broc;2124;FR;98.711 %;2574146.000;1161567.000;fr;2008-07-01
Broc;1636;00;832;Gruyères;2135;FR;1.289 %;2578160.000;1160441.000;fr;2008-07-01
Charmey (Gruyère);1637;00;833;Val-de-Charmey;2163;FR;99.409 %;2579217.000;1163329.000;fr;2008-07-01
Charmey (Gruyère);1637;00;833;Jaun;2138;FR;0.591 %;2581772.000;1158608.000;fr;2008-07-01
Morlon;1638;00;822;Morlon;2143;FR;100 %;2572784.000;1163801.000;fr;2008-07-01
Sorens;1642;00;808;Sorens;2153;FR;100 %;2570484.000;1168889.000;fr;2008-07-01
Gumefens;1643;00;809;Pont-en-Ogoz;2122;FR;100 %;2572267.000;1169639.000;fr;2008-07-01
Avry-devant-Pont;1644;00;810;Pont-en-Ogoz;2122;FR;100 %;2573085.000;1170649.000;fr;2008-07-01
Le Bry;1645;00;811;Pont-en-Ogoz;2122;FR;100 %;2572930.000;1172220.000;fr;2008-07-01
Echarlens;1646;00;812;Echarlens;2131;FR;98.093 %;2572171.000;1166215.000;fr;2008-07-01
Echarlens;1646;00;812;Corbières;2129;FR;1.907 %;2573328.000;1167793.000;fr;2008-07-01
Corbières;1647;00;813;Corbières;2129;FR;99.309 %;2574486.000;1167596.000;fr;2008-07-01
Corbières;1647;00;813;Hauteville;2137;FR;0.691 %;2575834.000;1167994.000;fr;2008-07-01
Hauteville;1648;00;814;Hauteville;2137;FR;100 %;2575027.000;1169205.000;fr;2008-07-01
Pont-la-Ville;1649;00;830;Pont-la-Ville;2147;FR;100 %;2575138.000;1171759.000;fr;2008-07-01
Villarvolard;1651;00;820;Corbières;2129;FR;100 %;2574766.000;1166019.000;fr;2008-07-01
Botterens;1652;00;821;Botterens;2123;FR;100 %;2575091.000;1163052.000;fr;2008-07-01
Villarbeney;1652;02;5801;Botterens;2123;FR;100 %;2574893.000;1164200.000;fr;2008-07-01
Crésuz;1653;02;6051;Crésuz;2130;FR;100 %;2577259.000;1163304.000;fr;2008-07-01
Châtel-sur-Montsalvens;1653;03;5798;Châtel-sur-Montsalvens;2128;FR;98.684 %;2576102.000;1162539.000;fr;2008-07-01
Châtel-sur-Montsalvens;1653;03;5798;Broc;2124;FR;1.316 %;2575408.000;1162109.000;fr;2008-07-01
Cerniat FR;1654;00;819;Val-de-Charmey;2163;FR;100 %;2579483.000;1165737.000;fr;2008-07-01
Jaun;1656;00;817;Jaun;2138;FR;100 %;2588068.000;1162085.000;de;2008-07-01
Im Fang;1656;01;816;Jaun;2138;FR;100 %;2584614.000;1160917.000;de;2008-07-01
Abländschen;1657;00;818;Saanen;843;BE;87.879 %;2588524.000;1157914.000;de;2008-07-01
Abländschen;1657;00;818;Boltigen;791;BE;6.818 %;2588694.000;1157306.000;de;2008-07-01
Abländschen;1657;00;818;Jaun;2138;FR;5.303 %;2589290.000;1159126.000;de;2008-07-01
Rossinière;1658;00;1087;Rossinière;5842;VD;100 %;2572677.000;1146302.000;fr;2008-07-01
La Tine;1658;02;1078;Rossinière;5842;VD;100 %;2570232.000;1146641.000;fr;2008-07-01
Rougemont;1659;00;1089;Rougemont;5843;VD;99.64 %;2582358.000;1148845.000;fr;2008-07-01
Rougemont;1659;00;1089;Château-d'Oex;5841;VD;0.36 %;2580090.000;1147204.000;fr;2008-07-01
Flendruz;1659;02;1080;Château-d'Oex;5841;VD;67.416 %;2579753.000;1148291.000;fr;2008-07-01
Flendruz;1659;02;1080;Rougemont;5843;VD;32.584 %;2580651.928;1152926.282;fr;2008-07-01
Château-d'Oex;1660;00;1088;Château-d'Oex;5841;VD;100 %;2576777.000;1147122.000;fr;2008-07-01
Les Moulins;1660;02;1079;Château-d'Oex;5841;VD;100 %;2574672.000;1145468.000;fr;2008-07-01
L'Etivaz;1660;03;1081;Château-d'Oex;5841;VD;100 %;2577777.000;1141452.000;fr;2008-07-01
La Lécherette;1660;04;6669;Château-d'Oex;5841;VD;96.834 %;2574317.000;1141572.000;fr;2008-07-01
La Lécherette;1660;04;6669;Ormont-Dessous;5410;VD;3.166 %;2570488.000;1140586.000;fr;2008-07-01
Le Pâquier-Montbarry;1661;00;836;Le Pâquier (FR);2145;FR;99.511 %;2570606.000;1160328.000;fr;2008-07-01
Le Pâquier-Montbarry;1661;00;836;Bulle;2125;FR;0.367 %;2569298.000;1160944.000;fr;2008-07-01
Le Pâquier-Montbarry;1661;00;836;Gruyères;2135;FR;0.122 %;2571679.000;1160163.000;fr;2008-07-01
Gruyères;1663;00;842;Gruyères;2135;FR;100 %;2572642.000;1159120.000;fr;2008-07-01
Pringy;1663;02;837;Gruyères;2135;FR;100 %;2571648.000;1158881.000;fr;2008-07-01
Epagny;1663;03;843;Gruyères;2135;FR;100 %;2572912.000;1160139.000;fr;2008-07-01
Moléson-sur-Gruyères;1663;04;823;Gruyères;2135;FR;97.436 %;2569190.000;1157243.000;fr;2008-07-01
Moléson-sur-Gruyères;1663;04;823;Bas-Intyamon;2162;FR;2.564 %;2569753.000;1156857.000;fr;2008-07-01
Estavannens;1665;00;838;Bas-Intyamon;2162;FR;100 %;2574275.000;1156998.000;fr;2008-07-01
Grandvillard;1666;00;845;Grandvillard;2134;FR;100 %;2572910.000;1154304.000;fr;2008-07-01
Villars-sous-Mont;1666;02;5802;Bas-Intyamon;2162;FR;100 %;2571641.000;1154388.000;fr;2008-07-01
Enney;1667;00;839;Bas-Intyamon;2162;FR;100 %;2572601.000;1157195.000;fr;2008-07-01
Albeuve;1669;00;841;Haut-Intyamon;2121;FR;100 %;2570532.000;1151724.000;fr;2008-07-01
Lessoc;1669;02;5799;Haut-Intyamon;2121;FR;100 %;2571152.000;1150644.000;fr;2008-07-01
Les Sciernes-d'Albeuve;1669;03;1077;Haut-Intyamon;2121;FR;100 %;2569094.000;1149505.000;fr;2008-07-01
Neirivue;1669;04;840;Haut-Intyamon;2121;FR;100 %;2570892.000;1152865.000;fr;2008-07-01
Montbovon;1669;05;1086;Haut-Intyamon;2121;FR;100 %;2569064.000;1148211.000;fr;2008-07-01
Ursy;1670;00;857;Ursy;2102;FR;100 %;2554070.000;1164900.000;fr;2008-07-01
Bionnens;1670;02;5782;Ursy;2102;FR;100 %;2555284.000;1165066.000;fr;2008-07-01
Esmonts;1670;03;5787;Ursy;2102;FR;100 %;2554447.000;1165815.000;fr;2008-07-01
Promasens;1673;00;860;Rue;2097;FR;100 %;2552883.000;1161431.000;fr;2008-07-01
Gillarens;1673;02;5788;Rue;2097;FR;100 %;2553220.000;1159948.000;fr;2008-07-01
Auboranges;1673;03;251;Rue;2097;FR;100 %;2551368.000;1159300.000;fr;2008-07-01
Ecublens FR;1673;04;780;Rue;2097;FR;100 %;2551829.000;1162092.000;fr;2008-07-01
Rue;1673;05;859;Rue;2097;FR;100 %;2552892.000;1163554.000;fr;2008-07-01
Vuarmarens;1674;00;858;Ursy;2102;FR;100 %;2553342.000;1166068.000;fr;2008-07-01
Montet (Glâne);1674;02;5793;Ursy;2102;FR;100 %;2552292.000;1166109.000;fr;2008-07-01
Morlens;1674;03;5794;Ursy;2102;FR;100 %;2553897.000;1167011.000;fr;2008-07-01
Vauderens;1675;00;856;Ursy;2102;FR;100 %;2554894.000;1163677.000;fr;2008-07-01
Blessens;1675;02;5783;Rue;2097;FR;99.01 %;2553934.000;1162032.000;fr;2008-07-01
Blessens;1675;02;5783;Ursy;2102;FR;0.99 %;2554472.000;1161910.000;fr;2008-07-01
Mossel;1675;03;5795;Ursy;2102;FR;100 %;2555518.000;1162485.000;fr;2008-07-01
Chavannes-les-Forts;1676;00;864;Siviriez;2099;FR;100 %;2558480.000;1166890.000;fr;2008-07-01
Prez-vers-Siviriez;1677;00;865;Siviriez;2099;FR;100 %;2556887.000;1165299.000;fr;2008-07-01
Siviriez;1678;00;862;Siviriez;2099;FR;100 %;2556987.000;1167554.000;fr;2008-07-01
Villaraboud;1679;00;863;Siviriez;2099;FR;100 %;2559616.000;1167925.000;fr;2008-07-01
Romont FR;1680;00;867;Romont (FR);2096;FR;97.897 %;2559829.000;1171565.000;fr;2008-07-01
Romont FR;1680;00;867;Villaz;2117;FR;1.162 %;2561677.000;1172860.000;fr;2008-07-01
Romont FR;1680;00;867;Mézières (FR);2087;FR;0.111 %;2561423.000;1171227.000;fr;2008-07-01
Romont FR;1680;00;867;Siviriez;2099;FR;0.83 %;2558293.000;1169235.000;fr;2008-07-01
Berlens;1680;02;5781;Mézières (FR);2087;FR;100 %;2562829.000;1171547.000;fr;2008-07-01
Billens;1681;00;879;Billens-Hennens;2063;FR;100 %;2558624.000;1171114.000;fr;2008-07-01
Hennens;1681;02;5789;Billens-Hennens;2063;FR;100 %;2557564.000;1170321.000;fr;2008-07-01
Prévonloup;1682;00;880;Prévonloup;5683;VD;100 %;2557501.000;1172276.000;fr;2008-07-01
Lovatens;1682;02;5856;Lovatens;5674;VD;100 %;2556135.000;1171297.000;fr;2008-07-01
Dompierre VD;1682;03;742;Dompierre (VD);5671;VD;100 %;2557426.000;1173236.000;fr;2008-07-01
Villars-Bramard;1682;04;741;Valbroye;5831;VD;100 %;2558737.000;1174343.000;fr;2008-07-01
Cerniaz VD;1682;05;5870;Valbroye;5831;VD;100 %;2558517.000;1175148.000;fr;2008-07-01
Brenles;1683;00;881;Lucens;5675;VD;100 %;2555260.000;1169086.000;fr;2008-07-01
Chesalles-sur-Moudon;1683;02;882;Lucens;5675;VD;100 %;2553725.000;1169511.000;fr;2008-07-01
Sarzens;1683;03;5860;Lucens;5675;VD;100 %;2554919.000;1170280.000;fr;2008-07-01
Mézières FR;1684;00;887;Mézières (FR);2087;FR;100 %;2560928.000;1169668.000;fr;2008-07-01
Villariaz;1685;00;888;Vuisternens-devant-Romont;2113;FR;100 %;2561914.000;1168059.000;fr;2008-07-01
Grangettes-près-Romont;1686;00;890;Grangettes;2079;FR;100 %;2563649.000;1169657.000;fr;2008-07-01
La Neirigue;1686;02;5796;Vuisternens-devant-Romont;2113;FR;100 %;2562983.000;1170455.000;fr;2008-07-01
Vuisternens-devant-Romont;1687;00;896;Vuisternens-devant-Romont;2113;FR;100 %;2560954.000;1166800.000;fr;2008-07-01
La Magne;1687;02;5792;Vuisternens-devant-Romont;2113;FR;100 %;2561073.000;1165311.000;fr;2008-07-01
Estévenens;1687;03;889;Vuisternens-devant-Romont;2113;FR;100 %;2563379.000;1168612.000;fr;2008-07-01
Sommentier;1688;00;892;Vuisternens-devant-Romont;2113;FR;100 %;2559653.000;1165260.000;fr;2008-07-01
Lieffrens;1688;02;5790;Vuisternens-devant-Romont;2113;FR;100 %;2558854.000;1165125.000;fr;2008-07-01
Le Châtelard-près-Romont;1689;00;891;Le Châtelard;2067;FR;100 %;2565269.000;1169736.000;fr;2008-07-01
Villaz-St-Pierre;1690;00;1007;Villaz;2117;FR;95.84 %;2563244.000;1174481.000;fr;2008-07-01
Villaz-St-Pierre;1690;00;1007;Villorsonnens;2114;FR;4.16 %;2564227.000;1174552.000;fr;2008-07-01
Lussy FR;1690;02;5791;Villaz;2117;FR;100 %;2562148.000;1173961.000;fr;2008-07-01
Villarimboud;1691;00;996;Villaz;2117;FR;100 %;2563645.000;1176594.000;fr;2008-07-01
Massonnens;1692;00;894;Massonnens;2086;FR;100 %;2564500.000;1172008.000;fr;2008-07-01
Villarsiviriaux;1694;00;884;Villorsonnens;2114;FR;100 %;2567346.000;1171966.000;fr;2008-07-01
Villargiroud;1694;02;5797;Villorsonnens;2114;FR;100 %;2566558.000;1172588.000;fr;2008-07-01
Orsonnens;1694;03;883;Villorsonnens;2114;FR;100 %;2566056.000;1173852.000;fr;2008-07-01
Chavannes-sous-Orsonnens;1694;04;5785;Villorsonnens;2114;FR;100 %;2565673.000;1175107.000;fr;2008-07-01
Villarlod;1695;00;885;Gibloux;2236;FR;100 %;2568290.000;1172424.000;fr;2008-07-01
Rueyres-St-Laurent;1695;02;5821;Gibloux;2236;FR;100 %;2569082.000;1173751.000;fr;2008-07-01
Estavayer-le-Gibloux;1695;03;995;Gibloux;2236;FR;100 %;2568359.000;1174642.000;fr;2008-07-01
Villarsel-le-Gibloux;1695;04;5823;Gibloux;2236;FR;100 %;2567819.000;1173619.000;fr;2008-07-01
Vuisternens-en-Ogoz;1696;00;886;Gibloux;2236;FR;100 %;2570614.000;1172823.000;fr;2008-07-01
La Joux FR;1697;00;912;Vuisternens-devant-Romont;2113;FR;100 %;2561526.000;1163926.000;fr;2008-07-01
Les Ecasseys;1697;02;5786;Vuisternens-devant-Romont;2113;FR;100 %;2559131.000;1163488.000;fr;2008-07-01
Porsel;1699;00;914;Le Flon;2337;FR;100 %;2556184.000;1161345.000;fr;2008-07-01
Pont (Veveyse);1699;02;915;Le Flon;2337;FR;100 %;2555134.000;1160137.000;fr;2008-07-01
Bouloz;1699;03;913;Le Flon;2337;FR;100 %;2557381.000;1162488.000;fr;2008-07-01
Fribourg;1700;00;916;Fribourg;2196;FR;95.797 %;2578372.000;1183815.000;fr;2008-07-01
Fribourg;1700;00;916;Tafers;2306;FR;2.796 %;2580628.000;1183862.000;fr;2008-07-01
Fribourg;1700;00;916;Düdingen;2293;FR;1.407 %;2580351.000;1184979.000;fr;2008-07-01
Tafers;1712;00;956;Tafers;2306;FR;99.739 %;2583241.000;1184935.000;de;2008-07-01
Tafers;1712;00;956;Schmitten (FR);2305;FR;0.261 %;2585468.000;1186253.000;de;2008-07-01
St. Antoni;1713;00;957;Tafers;2306;FR;98.99 %;2586623.000;1185510.000;de;2008-07-01
St. Antoni;1713;00;957;Schmitten (FR);2305;FR;1.01 %;2586522.000;1187013.000;de;2008-07-01
Heitenried;1714;00;958;Heitenried;2296;FR;66.667 %;2589546.000;1186466.000;de;2008-07-01
Heitenried;1714;00;958;Tafers;2306;FR;33.333 %;2588721.000;1186074.000;de;2008-07-01
Alterswil FR;1715;00;960;Tafers;2306;FR;97.307 %;2586692.000;1182614.000;de;2008-07-01
Alterswil FR;1715;00;960;St. Ursen;2304;FR;2.693 %;2587246.000;1180728.000;de;2008-07-01
Plaffeien;1716;00;962;Plaffeien;2299;FR;100 %;2588630.000;1175997.000;de;2008-07-01
Oberschrot;1716;02;5832;Plaffeien;2299;FR;100 %;2587654.000;1176525.000;de;2008-07-01
Schwarzsee;1716;03;945;Plaffeien;2299;FR;92.511 %;2588603.000;1169532.000;de;2008-07-01
Schwarzsee;1716;03;945;Val-de-Charmey;2163;FR;4 %;2586680.000;1166773.000;de;2008-07-01
Schwarzsee;1716;03;945;Jaun;2138;FR;3.234 %;2588821.000;1167299.000;de;2008-07-01
Schwarzsee;1716;03;945;Plasselb;2300;FR;0.255 %;2585618.000;1169230.000;de;2008-07-01
St. Ursen;1717;00;963;St. Ursen;2304;FR;99.097 %;2583043.000;1182023.000;de;2008-07-01
St. Ursen;1717;00;963;Tafers;2306;FR;0.903 %;2583266.000;1183072.000;de;2008-07-01
Rechthalten;1718;00;964;Rechthalten;2301;FR;92.022 %;2585149.000;1179519.000;de;2008-07-01
Rechthalten;1718;00;964;St. Ursen;2304;FR;7.978 %;2586611.000;1180364.000;de;2008-07-01
Brünisried;1719;00;949;Brünisried;2292;FR;99.016 %;2587842.000;1178329.000;de;2008-07-01
Brünisried;1719;00;949;Plaffeien;2299;FR;0.984 %;2588249.453;1177481.860;de;2008-07-01
Zumholz;1719;02;5833;Plaffeien;2299;FR;100 %;2588750.000;1178252.000;de;2008-07-01
Corminboeuf;1720;00;939;Corminboeuf;2183;FR;100 %;2574563.000;1184459.000;fr;2008-07-01
Chésopelloz;1720;02;955;Corminboeuf;2183;FR;98.473 %;2572702.000;1184109.000;fr;2008-07-01
Chésopelloz;1720;02;955;Belfaux;2175;FR;1.527 %;2571815.000;1184212.000;fr;2008-07-01
Misery;1721;01;6786;Misery-Courtion;2272;FR;99.501 %;2571657.000;1189067.000;fr;2008-07-01
Misery;1721;01;6786;Avenches;5451;VD;0.499 %;2570696.000;1189664.000;fr;2008-07-01
Cormérod;1721;02;5826;Misery-Courtion;2272;FR;100 %;2573160.000;1190454.000;fr;2008-07-01
Courtion;1721;04;5829;Misery-Courtion;2272;FR;100 %;2571952.000;1189663.000;fr;2008-07-01
Cournillens;1721;05;9299;Misery-Courtion;2272;FR;100 %;2574236.000;1189692.000;fr;2008-07-01
Bourguillon;1722;00;966;Fribourg;2196;FR;100 %;2579861.000;1183273.000;fr;2008-07-01
Marly;1723;00;968;Marly;2206;FR;100 %;2578539.000;1180811.000;fr;2008-07-01
Villarsel-sur-Marly;1723;03;5824;Villarsel-sur-Marly;2230;FR;100 %;2579429.000;1179069.000;fr;2008-07-01
Pierrafortscha;1723;04;5818;Pierrafortscha;2216;FR;100 %;2580318.000;1181244.000;fr;2008-07-01
Le Mouret;1724;00;975;Le Mouret;2220;FR;98.86 %;2580073.000;1177649.000;fr;2008-07-01
Le Mouret;1724;00;975;Villarsel-sur-Marly;2230;FR;1.14 %;2580714.000;1178974.000;fr;2008-07-01
Essert FR;1724;02;5808;Le Mouret;2220;FR;95.686 %;2579012.000;1176275.000;fr;2008-07-01
Essert FR;1724;02;5808;Treyvaux;2226;FR;4.314 %;2578733.000;1175465.000;fr;2008-07-01
Ferpicloz;1724;03;5810;Ferpicloz;2194;FR;100 %;2579154.000;1177377.000;fr;2008-07-01
Montévraz;1724;04;5816;Le Mouret;2220;FR;100 %;2579859.000;1176350.000;fr;2008-07-01
Oberried FR;1724;05;5817;Le Mouret;2220;FR;100 %;2580795.000;1176040.000;fr;2008-07-01
Senèdes;1724;06;5822;Bois-d'Amont;2238;FR;95.575 %;2577427.000;1176814.000;fr;2008-07-01
Senèdes;1724;06;5822;Treyvaux;2226;FR;4.425 %;2577699.000;1176507.000;fr;2008-07-01
Zénauva;1724;07;5825;Le Mouret;2220;FR;100 %;2580312.000;1176155.000;fr;2008-07-01
Bonnefontaine;1724;08;946;Le Mouret;2220;FR;96.034 %;2581601.000;1176671.000;fr;2008-07-01
Bonnefontaine;1724;08;946;St. Silvester;2303;FR;3.966 %;2581536.000;1177853.000;fr;2008-07-01
Posieux;1725;00;978;Hauterive (FR);2233;FR;96.723 %;2574058.000;1179229.000;fr;2008-07-01
Posieux;1725;00;978;Marly;2206;FR;1.699 %;2576193.000;1179807.000;fr;2008-07-01
Posieux;1725;00;978;Bois-d'Amont;2238;FR;1.578 %;2575927.000;1179808.000;fr;2008-07-01
Farvagny-le-Grand;1726;00;983;Gibloux;2236;FR;100 %;2571546.000;1174416.000;fr;2017-09-01
Farvagny-le-Petit;1726;02;5809;Gibloux;2236;FR;100 %;2572064.000;1175353.000;fr;2008-07-01
Grenilles;1726;03;5811;Gibloux;2236;FR;100 %;2570180.000;1175150.000;fr;2008-07-01
Posat;1726;04;5820;Gibloux;2236;FR;100 %;2570723.000;1176194.000;fr;2008-07-01
Corpataux;1727;00;947;Gibloux;2236;FR;100 %;2573748.000;1176877.000;fr;2016-06-01
Magnedens;1727;02;5814;Gibloux;2236;FR;100 %;2572667.000;1176872.000;fr;2008-07-01
Rossens FR;1728;00;948;Gibloux;2236;FR;100 %;2574365.000;1174374.000;fr;2008-07-01
Ecuvillens;1730;00;5807;Hauterive (FR);2233;FR;100 %;2572847.000;1178395.000;fr;2008-07-01
Ependes FR;1731;00;950;Bois-d'Amont;2238;FR;100 %;2577793.000;1178169.000;fr;2008-07-01
Arconciel;1732;00;951;Bois-d'Amont;2238;FR;100 %;2575939.000;1177021.000;fr;2008-07-01
Treyvaux;1733;00;952;Treyvaux;2226;FR;99.903 %;2576944.000;1175224.000;fr;2008-07-01
Treyvaux;1733;00;952;La Roche;2149;FR;0.097 %;2576235.000;1173741.000;fr;2008-07-01
Tentlingen;1734;00;5615;Tentlingen;2307;FR;99.501 %;2581561.000;1179800.000;de;2008-07-01
Tentlingen;1734;00;5615;St. Silvester;2303;FR;0.375 %;2581792.000;1178238.000;de;2008-07-01
Tentlingen;1734;00;5615;Le Mouret;2220;FR;0.125 %;2581296.000;1178006.000;de;2008-07-01
Giffers;1735;00;941;Giffers;2294;FR;98.974 %;2582676.000;1178812.000;de;2008-07-01
Giffers;1735;00;941;Rechthalten;2301;FR;1.026 %;2585665.000;1177846.000;de;2008-07-01
St. Silvester;1736;00;942;St. Silvester;2303;FR;100 %;2583353.000;1176708.000;de;2008-07-01
Plasselb;1737;00;943;Plasselb;2300;FR;100 %;2585756.000;1175994.000;fr;2008-07-01
Sangernboden;1738;00;944;Guggisberg;852;BE;64.409 %;2593429.000;1174673.000;de;2008-07-01
